ph_value,do_value,temp_value,salinity_value,ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label,status
9.000,9.660,28.900,234.200,8.342,9.655,28.900,227.296,0,
9.900,9.650,28.900,224.100,8.377,9.655,28.900,227.302,0,
8.200,9.650,28.900,227.500,8.384,9.655,28.900,227.272,0,
6.600,9.660,28.900,229.200,8.367,9.655,28.900,227.224,0,
9.900,9.650,28.900,224.100,8.331,9.656,28.900,227.174,0,
6.700,9.660,28.900,227.500,8.277,9.656,28.900,227.139,0,
9.600,9.650,28.900,224.100,8.203,9.656,28.900,227.127,0,
9.500,9.660,28.900,229.200,8.110,9.656,28.900,227.134,0,
6.900,9.660,28.900,227.500,8.004,9.657,28.900,227.152,0,
6.600,9.660,28.900,229.200,7.895,9.657,28.900,227.172,0,
9.600,9.650,28.900,224.100,7.791,9.657,28.900,227.194,0,
6.800,9.660,28.900,227.500,7.697,9.657,28.900,227.222,0,
7.100,9.660,28.900,227.500,7.618,9.657,28.900,227.251,0,
8.300,9.660,28.900,227.500,7.559,9.657,28.900,227.275,0,
6.800,9.650,28.900,227.500,7.523,9.656,28.900,227.286,0,
6.900,9.650,28.900,227.500,7.513,9.656,28.900,227.278,0,
7.300,9.660,28.900,225.800,7.527,9.656,28.900,227.249,0,
7.000,9.660,28.900,227.500,7.561,9.656,28.900,227.192,0,
8.800,9.660,28.900,232.600,7.604,9.655,28.900,227.101,0,
6.700,9.650,28.900,225.800,7.648,9.655,28.900,226.980,0,
9.600,9.650,28.900,224.100,7.684,9.655,28.900,226.850,0,
7.500,9.660,28.900,225.800,7.709,9.654,28.900,226.734,0,
6.800,9.650,28.900,227.500,7.722,9.654,28.900,226.642,0,
9.600,9.660,28.900,224.100,7.727,9.653,28.900,226.573,0,
6.800,9.650,28.900,227.500,7.728,9.653,28.900,226.523,0,
7.200,9.650,28.900,227.500,7.730,9.653,28.900,226.479,0,
6.700,9.650,28.900,227.500,7.738,9.653,28.900,226.433,0,
9.400,9.660,28.900,227.500,7.752,9.652,28.900,226.383,0,
6.800,9.650,28.900,225.800,7.769,9.652,28.900,226.336,0,
6.900,9.650,28.900,225.800,7.788,9.652,28.900,226.307,0,
9.900,9.650,28.900,224.100,7.805,9.652,28.900,226.308,0,
7.900,9.650,28.900,225.800,7.818,9.652,28.900,226.344,0,
7.000,9.650,28.900,227.500,7.827,9.652,28.900,226.409,0,
6.800,9.660,28.900,227.500,7.839,9.653,28.900,226.492,0,
7.400,9.660,28.900,225.800,7.853,9.653,28.900,226.584,0,
9.600,9.650,28.900,224.100,7.862,9.653,28.900,226.683,0,
6.900,9.650,28.900,227.500,7.860,9.653,28.900,226.776,0,
9.000,9.650,28.900,230.900,7.842,9.654,28.900,226.846,0,
9.600,9.650,28.900,224.100,7.809,9.654,28.900,226.881,0,
6.900,9.650,28.900,227.500,7.768,9.654,28.900,226.875,0,
6.800,9.660,28.900,229.200,7.733,9.655,28.900,226.829,0,
6.600,9.660,28.900,227.500,7.716,9.655,28.900,226.745,0,
6.800,9.660,28.900,225.800,7.722,9.655,28.900,226.637,0,
7.500,9.660,28.900,225.800,7.746,9.655,28.900,226.525,0,
9.600,9.650,28.900,224.100,7.778,9.655,28.900,226.426,0,
7.000,9.660,28.900,227.500,7.804,9.655,28.900,226.347,0,
9.900,9.650,28.900,224.100,7.821,9.655,28.900,226.287,0,
6.800,9.650,28.900,227.500,7.826,9.654,28.900,226.237,0,
8.900,9.650,28.900,230.900,7.826,9.654,28.900,226.188,0,
6.600,9.660,28.900,224.100,7.828,9.654,28.900,226.140,0,
6.800,9.660,28.900,225.800,7.838,9.654,28.900,226.109,0,
9.600,9.650,28.900,224.100,7.859,9.654,28.900,226.114,0,
6.900,9.650,28.900,225.800,7.890,9.654,28.900,226.164,0,
6.800,9.660,28.900,225.800,7.933,9.654,28.900,226.258,0,
6.800,9.650,28.900,225.800,7.984,9.654,28.900,226.387,0,
9.500,9.650,28.900,227.500,8.030,9.655,28.900,226.537,0,
9.600,9.650,28.900,227.500,8.057,9.655,28.900,226.693,0,
7.400,9.660,28.900,225.800,8.057,9.655,28.900,226.843,0,
8.100,9.660,28.900,227.500,8.027,9.656,28.900,226.980,0,
9.600,9.650,28.900,224.100,7.967,9.656,28.900,227.091,0,
8.600,9.660,28.900,234.200,7.885,9.656,28.900,227.164,0,
6.800,9.660,28.900,227.500,7.793,9.656,28.900,227.192,0,
6.600,9.660,28.900,224.100,7.706,9.656,28.900,227.187,0,
7.800,9.660,28.900,225.800,7.638,9.656,28.900,227.168,0,
6.900,9.650,28.900,227.500,7.595,9.656,28.900,227.146,0,
6.900,9.660,28.900,227.500,7.579,9.655,28.900,227.120,0,
7.000,9.650,28.900,227.500,7.586,9.655,28.900,227.085,0,
8.200,9.650,28.900,227.500,7.608,9.654,28.900,227.040,0,
8.000,9.660,28.900,227.500,7.632,9.654,28.900,226.989,0,
6.800,9.650,28.900,227.500,7.649,9.654,28.900,226.938,0,
9.600,9.650,28.900,224.100,7.648,9.653,28.900,226.898,0,
7.700,9.650,28.900,225.800,7.625,9.653,28.900,226.876,0,
8.100,9.650,28.900,227.500,7.578,9.653,28.900,226.868,0,
8.400,9.660,28.900,227.500,7.515,9.653,28.900,226.859,0,
7.000,9.660,28.900,227.500,7.447,9.653,28.900,226.837,0,
6.800,9.650,28.900,227.500,7.389,9.654,28.900,226.793,0,
6.900,9.650,28.900,227.500,7.355,9.654,28.900,226.726,0,
6.800,9.660,28.900,225.800,7.355,9.654,28.900,226.642,0,
6.700,9.650,28.900,227.500,7.394,9.654,28.900,226.549,0,
6.800,9.650,28.900,227.500,7.470,9.654,28.900,226.457,0,
6.600,9.660,28.900,224.100,7.576,9.654,28.900,226.382,0,
9.700,9.650,28.900,224.100,7.697,9.654,28.900,226.334,0,
9.900,9.650,28.900,224.100,7.821,9.654,28.900,226.316,0,
6.600,9.660,28.900,230.900,7.943,9.654,28.900,226.310,0,
6.800,9.660,28.900,227.500,8.067,9.654,28.900,226.298,0,
7.300,9.650,28.900,225.800,8.196,9.654,28.900,226.274,0,
9.600,9.650,28.900,224.100,8.322,9.654,28.900,226.243,0,
9.400,9.650,28.900,227.500,8.435,9.654,28.900,226.212,0,
6.600,9.660,28.900,227.500,8.528,9.655,28.900,226.181,0,
9.500,9.660,28.900,227.500,8.595,9.655,28.900,226.156,0,
9.900,9.650,28.900,224.100,8.631,9.655,28.900,226.150,0,
9.600,9.650,28.900,224.100,8.632,9.655,28.900,226.178,0,
7.900,9.660,28.900,225.800,8.604,9.655,28.900,226.249,0,
8.100,9.660,28.900,227.500,8.554,9.656,28.900,226.358,0,
8.200,9.660,28.900,227.500,8.494,9.656,28.900,226.493,0,
9.900,9.650,28.900,224.100,8.430,9.656,28.900,226.648,0,
6.800,9.650,28.900,227.500,8.368,9.656,28.900,226.816,0,
6.700,9.660,28.900,227.500,8.314,9.657,28.900,226.985,0,
9.800,9.650,28.900,224.100,8.268,9.657,28.900,227.142,0,
9.000,9.660,28.900,232.600,8.228,9.657,28.900,227.268,0,
8.000,9.660,28.900,227.500,8.190,9.658,28.900,227.350,0,
9.400,9.660,28.900,227.500,8.161,9.658,28.900,227.389,0,
7.100,9.660,28.900,227.500,8.147,9.658,28.900,227.396,0,
7.200,9.660,28.900,225.800,8.161,9.658,28.900,227.386,0,
6.900,9.660,28.900,227.500,8.209,9.657,28.900,227.373,0,
6.800,9.650,28.900,225.800,8.287,9.657,28.900,227.362,0,
9.400,9.660,28.900,230.900,8.380,9.657,28.900,227.356,0,
9.100,9.660,28.900,227.500,8.468,9.656,28.900,227.356,0,
9.800,9.650,28.900,224.100,8.531,9.656,28.900,227.374,0,
9.100,9.660,28.900,230.900,8.558,9.655,28.900,227.425,0,
9.900,9.650,28.900,224.100,8.546,9.655,28.900,227.518,0,
9.600,9.650,28.900,224.100,8.502,9.655,28.900,227.658,0,
6.800,9.660,28.900,227.500,8.441,9.654,28.900,227.835,0,
6.600,9.660,28.900,230.900,8.384,9.654,28.900,228.019,0,
9.300,9.650,28.900,229.200,8.343,9.654,28.900,228.176,0,
6.800,9.650,28.900,227.500,8.320,9.654,28.900,228.282,0,
9.400,9.650,28.900,227.500,8.315,9.654,28.900,228.321,0,
8.500,9.660,28.900,234.200,8.324,9.654,28.900,228.280,0,
6.800,9.650,28.900,227.500,8.345,9.654,28.900,228.157,0,
9.800,9.650,28.900,224.100,8.374,9.654,28.900,227.964,0,
8.700,9.660,28.900,230.900,8.408,9.654,28.900,227.720,0,
6.900,9.660,28.900,227.500,8.443,9.655,28.900,227.437,0,
9.400,9.650,28.900,227.500,8.478,9.655,28.900,227.130,0,
6.700,9.660,28.900,227.500,8.506,9.655,28.900,226.822,0,
9.600,9.650,28.900,224.100,8.519,9.655,28.900,226.537,0,
9.700,9.650,28.900,224.100,8.504,9.655,28.900,226.299,0,
9.400,9.660,28.900,227.500,8.454,9.655,28.900,226.118,0,
9.900,9.650,28.900,224.100,8.371,9.655,28.900,225.991,0,
7.900,9.660,28.900,225.800,8.267,9.655,28.900,225.911,0,
6.800,9.660,28.900,225.800,8.162,9.654,28.900,225.863,0,
6.700,9.660,28.900,227.500,8.074,9.654,28.900,225.831,0,
6.800,9.650,28.900,227.500,8.013,9.654,28.900,225.800,0,
9.700,9.650,28.900,224.100,7.976,9.653,28.900,225.768,0,
6.900,9.650,28.900,227.500,7.958,9.653,28.900,225.737,0,
9.600,9.650,28.900,224.100,7.951,9.653,28.900,225.712,0,
6.800,9.650,28.900,225.800,7.953,9.652,28.900,225.699,0,
9.700,9.650,28.900,224.100,7.965,9.653,28.900,225.700,0,
6.900,9.660,28.900,227.500,7.987,9.653,28.900,225.711,0,
6.800,9.650,28.900,225.800,8.026,9.653,28.900,225.726,0,
9.600,9.650,28.900,224.100,8.081,9.653,28.900,225.742,0,
7.100,9.660,28.900,227.500,8.151,9.653,28.900,225.754,0,
6.700,9.650,28.900,227.500,8.233,9.653,28.900,225.760,0,
9.600,9.650,28.900,224.100,8.319,9.654,28.900,225.764,0,
7.300,9.660,28.900,225.800,8.396,9.654,28.900,225.774,0,
9.600,9.660,28.900,227.500,8.452,9.654,28.900,225.800,0,
9.600,9.650,28.900,224.100,8.472,9.654,28.900,225.851,0,
9.900,9.650,28.900,224.100,8.452,9.654,28.900,225.937,0,
9.800,9.650,28.900,224.100,8.396,9.654,28.900,226.058,0,
6.700,9.660,28.900,227.500,8.319,9.655,28.900,226.202,0,
6.800,9.650,28.900,227.500,8.244,9.655,28.900,226.345,0,
9.300,9.660,28.900,229.200,8.186,9.655,28.900,226.470,0,
7.200,9.660,28.900,225.800,8.155,9.655,28.900,226.570,0,
6.800,9.650,28.900,225.800,8.159,9.655,28.900,226.650,0,
9.300,9.660,28.900,225.800,8.197,9.655,28.900,226.718,0,
6.800,9.650,28.900,227.500,8.268,9.655,28.900,226.776,0,
6.700,9.660,28.900,227.500,8.363,9.655,28.900,226.823,0,
9.600,9.650,28.900,224.100,8.467,9.655,28.900,226.855,0,
9.500,9.660,28.900,229.200,8.561,9.655,28.900,226.871,0,
9.800,9.650,28.900,224.100,8.624,9.655,28.900,226.862,0,
9.100,9.660,28.900,232.600,8.649,9.655,28.900,226.819,0,
9.800,9.650,28.900,224.100,8.633,9.655,28.900,226.741,0,
6.800,9.650,28.900,227.500,8.584,9.655,28.900,226.636,0,
9.800,9.650,28.900,224.100,8.510,9.656,28.900,226.515,0,
8.000,9.660,28.900,227.500,8.422,9.657,28.900,226.384,0,
7.000,9.660,28.900,227.500,8.325,9.657,28.900,226.246,0,
9.600,9.660,28.900,224.100,8.227,9.658,28.900,226.103,0,
7.000,9.660,28.900,227.500,8.131,9.659,28.900,225.958,0,
8.000,9.660,28.900,225.800,8.038,9.660,28.900,225.815,0,
3.400,9.620,27.800,136.000,3.485,9.620,27.797,135.805,1,True
3.500,9.610,27.800,165.900,3.338,9.620,27.808,141.950,1,True
0.700,9.620,27.900,169.400,3.186,9.620,27.819,147.721,1,True
1.200,9.620,27.900,174.500,3.030,9.620,27.829,152.860,1,True
7.400,9.620,27.800,136.000,2.862,9.620,27.837,157.291,1,True
3.600,9.620,27.800,165.900,2.672,9.620,27.845,161.039,1,True
0.700,9.620,27.900,171.100,2.463,9.620,27.852,164.135,1,True
0.600,9.620,27.900,171.100,2.245,9.620,27.858,166.607,1,True
3.700,9.620,27.800,165.900,2.024,9.620,27.864,168.516,1,True
3.500,9.620,27.800,165.900,1.803,9.620,27.870,169.957,1,True
0.900,9.620,27.900,169.400,1.587,9.620,27.875,171.013,1,True
0.800,9.620,27.900,172.800,1.390,9.620,27.880,171.749,1,True
0.500,9.620,27.900,171.100,1.227,9.620,27.884,172.213,1,True
0.800,9.620,27.900,172.800,1.108,9.620,27.887,172.448,1,True
0.800,9.620,27.900,171.100,1.036,9.620,27.888,172.492,1,True
0.400,9.620,27.900,172.800,1.012,9.620,27.889,172.382,1,True
0.200,9.620,27.900,172.800,1.031,9.620,27.888,172.150,1,True
1.100,9.620,27.900,172.800,1.084,9.620,27.886,171.828,1,True
3.500,9.620,27.800,165.900,1.157,9.620,27.883,171.452,1,True
0.800,9.620,27.900,171.100,1.242,9.620,27.881,171.047,1,True
0.800,9.620,27.900,171.100,1.334,9.620,27.878,170.622,1,True
0.800,9.620,27.900,174.500,1.435,9.619,27.875,170.175,1,True
0.300,9.620,27.900,169.400,1.539,9.619,27.872,169.714,1,True
1.100,9.620,27.900,172.800,1.636,9.619,27.869,169.268,1,True
3.600,9.620,27.800,162.400,1.705,9.619,27.866,168.877,1,True
3.700,9.610,27.800,164.100,1.730,9.619,27.866,168.581,1,True
3.600,9.620,27.800,162.400,1.704,9.619,27.867,168.386,1,True
0.700,9.620,27.900,171.100,1.635,9.619,27.869,168.255,1,True
0.900,9.620,27.900,174.500,1.543,9.619,27.873,168.125,1,True
0.800,9.620,27.900,172.800,1.449,9.619,27.876,167.945,1,True
0.400,9.620,27.900,172.800,1.367,9.619,27.879,167.704,1,True
0.600,9.620,27.900,171.100,1.303,9.620,27.881,167.446,1,True
