ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered,label
5.915,9.426,29.614,1184.366,4
8.207,9.653,28.9,225.53,0
8.325,9.657,28.9,226.246,0
8.561,9.655,28.9,226.918,0
7.479,9.655,28.9,226.021,0
8.494,9.656,28.9,226.493,0
7.859,9.654,28.9,226.114,0
6.485,9.435,29.597,1143.15,4
7.708,9.656,28.9,226.349,0
7.955,9.655,28.9,226.415,0
8.321,9.652,28.9,226.505,0
7.821,9.655,28.9,226.287,0
7.648,9.655,28.9,226.98,0
6.131,9.377,29.435,1304.335,4
6.012,9.486,29.754,1018.208,4
8.423,9.656,28.9,227.117,0
8.132,9.655,28.9,226.524,0
10.984,9.606,28.943,415.115,2
5.968,9.376,29.434,1309.875,4
8.531,9.656,28.9,227.374,0
7.788,9.652,28.9,226.307,0
8.345,9.654,28.9,228.157,0
6.195,9.388,29.497,1276.578,4
7.902,9.654,28.9,226.254,0
7.738,9.653,28.9,226.433,0
8.921,9.651,29.555,392.884,5
8.504,9.655,28.9,226.299,0
7.869,9.656,28.9,226.949,0
11.623,9.599,28.933,433.214,2
8.239,9.655,28.9,226.431,0
7.826,9.654,28.9,226.237,0
7.388,9.655,28.9,226.032,0
7.821,9.654,28.9,226.316,0
7.492,9.654,28.9,226.903,0
8.262,9.654,28.9,226.236,0
8.431,9.656,28.9,227.739,0
8.363,9.655,28.9,226.823,0
7.746,9.655,28.9,226.525,0
7.755,9.654,28.9,226.361,0
8.408,9.654,28.9,227.72,0
10.324,9.609,28.93,398.297,2
7.958,9.653,28.9,225.737,0
2.192,9.62,27.856,167.025,1
8.218,9.654,28.9,226.127,0
7.546,9.654,28.9,226.6,0
7.965,9.653,28.9,225.7,0
7.697,9.657,28.9,227.222,0
9.129,9.616,28.946,382.657,2
7.638,9.656,28.9,227.168,0
7.709,9.654,28.9,226.734,0
8.287,9.657,28.9,227.362,0
7.678,9.654,28.9,226.434,0
11.952,9.603,28.932,420.595,2
7.896,9.653,28.9,227.16,0
7.829,9.656,28.9,226.649,0
10.476,9.613,28.947,388.609,2
8.207,9.655,28.9,227.048,0
8.093,9.654,28.9,226.178,0
8.786,9.657,28.9,227.704,0
8.644,9.658,28.9,228.312,0
7.789,9.656,28.9,227.57,0
5.585,9.376,29.459,1312.911,4
6.244,9.377,29.447,1304.733,4
1.24,9.62,27.881,170.928,1
7.394,9.654,28.9,226.549,0
8.472,9.655,28.9,226.829,0
9.042,9.652,29.525,379.289,5
6.513,9.41,29.564,1224.823,4
7.648,9.653,28.9,226.898,0
8.548,9.658,28.9,228.426,0
7.959,9.656,28.9,227.643,0
7.697,9.654,28.9,226.334,0
8.256,9.655,28.9,226.54,0
9.0,9.657,29.56,373.59,5
7.667,9.656,28.9,226.531,0
8.906,9.642,29.586,424.718,5
6.781,9.399,29.475,1238.825,4
7.951,9.655,28.9,226.832,0
0.78,9.603,27.861,168.715,1
8.494,9.653,28.9,225.05,0
8.225,9.658,28.9,228.084,0
7.561,9.656,28.9,227.537,0
8.228,9.657,28.9,227.268,0
7.964,9.653,28.9,226.209,0
0.79,9.619,27.854,167.652,1
8.237,9.654,28.9,226.106,0
7.355,9.654,28.9,226.642,0
7.769,9.652,28.9,226.336,0
8.422,9.657,28.9,226.384,0
8.125,9.655,28.9,227.064,0
1.449,9.619,27.876,167.945,1
8.306,9.655,28.9,226.644,0
9.581,9.604,28.939,414.075,2
11.856,9.601,28.979,434.607,2
7.86,9.653,28.9,226.776,0
6.336,9.379,29.45,1299.684,4
7.716,9.655,28.9,226.745,0
7.851,9.654,28.9,226.487,0
8.046,9.653,28.9,226.926,0
7.559,9.657,28.9,227.275,0
9.258,9.641,30.283,627.195,3
2.322,9.619,27.848,166.168,1
8.468,9.656,28.9,227.063,0
7.762,9.656,28.9,227.139,0
9.728,9.636,30.233,623.994,3
7.933,9.654,28.9,226.258,0
7.752,9.652,28.9,226.383,0
8.162,9.654,28.9,225.863,0
8.404,9.653,28.9,226.39,0
8.478,9.655,28.9,227.13,0
8.131,9.659,28.9,225.958,0
8.084,9.655,28.9,227.572,0
8.99,9.659,29.517,357.005,5
8.437,9.653,28.9,226.369,0
8.343,9.654,28.9,228.176,0
8.287,9.654,28.9,226.123,0
9.101,9.645,29.54,403.708,5
8.209,9.655,28.9,226.565,0
7.355,9.654,28.9,226.726,0
1.298,9.614,27.859,167.53,1
8.057,9.655,28.9,226.693,0
8.633,9.655,28.9,226.741,0
8.233,9.653,28.9,225.76,0
9.02,9.661,29.558,355.996,5
8.396,9.654,28.9,226.058,0
9.649,9.637,30.239,624.448,3
8.632,9.655,28.9,227.001,0
0.896,9.619,27.89,172.079,1
8.506,9.655,28.9,226.822,0
10.868,9.611,28.956,392.389,2
8.322,9.653,28.9,225.318,0
8.204,9.655,28.9,227.163,0
8.247,9.655,28.9,227.227,0
8.245,9.655,28.9,226.326,0
8.396,9.654,28.9,225.774,0
7.561,9.656,28.9,227.192,0
7.768,9.654,28.9,226.875,0
7.827,9.652,28.9,226.409,0
8.322,9.654,28.9,226.243,0
9.871,9.636,30.225,622.557,3
8.35,9.658,28.9,228.418,0
7.473,9.654,28.9,226.843,0
8.86,9.633,28.97,318.329,2
7.976,9.653,28.9,225.768,0
10.108,9.638,30.226,621.918,3
7.523,9.656,28.9,227.286,0
9.545,9.64,30.246,624.745,3
8.149,9.652,28.9,225.9,0
7.784,9.656,28.9,227.215,0
8.159,9.654,28.9,226.152,0
8.067,9.654,28.9,226.298,0
7.809,9.654,28.9,226.881,0
8.203,9.656,28.9,227.127,0
10.751,9.607,28.935,405.262,2
7.64,9.657,28.9,226.758,0
8.839,9.65,29.543,393.411,5
8.454,9.653,28.9,225.398,0
9.094,9.644,29.576,416.773,5
7.579,9.655,28.9,227.12,0
8.081,9.653,28.9,225.742,0
8.969,9.631,28.963,325.154,2
8.68,9.654,28.9,227.093,0
10.069,9.617,28.934,371.56,2
8.272,9.658,28.9,228.285,0
8.19,9.658,28.9,227.35,0
8.004,9.657,28.9,227.152,0
7.513,9.656,28.9,227.278,0
8.315,9.654,28.9,228.321,0
7.295,9.655,28.9,226.215,0
9.298,9.629,28.972,332.675,2
7.706,9.656,28.9,227.187,0
